layer_key,dataset_id,rule,confidence,status,notes
satellitesGermany,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesItaly,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
satellitesIsrael,celestrak_satellites,class_c_new_catalog,HIGH,verified,CLASS-C: Space-Track/CelesTrak satellite.py + satellite_passes_daily.py collectors
newsEvents,layer2_polygon,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 新聞事件 → layer2_polygon.md
policeStation,police_stations,R4,MED,verified,R4 normalized name exact match. layer_key=policeStation (norm=police) <=> dataset_id (norm match)
womenChildWarning,women_child_warning,R4,MED,verified,R4 normalized name exact match. layer_key=womenChildWarning (norm=womenchildwarning) <=> dataset_id (norm match)
speedCamera,speed_cameras,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
speedZoneSegment,speed_zone_segments,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
court,courts,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 法院 → courts.md
prosecutorsOffice,prosecutors_offices,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 檢察署 → prosecutors_offices.md
correctionalFacility,correctional_facilities,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 矯正機構 → correctional_facilities.md
courtJurisdiction,court_jurisdictions,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
crimeAreaMonthly,crime_area_monthly,R4,MED,verified,R4 normalized name exact match. layer_key=crimeAreaMonthly (norm=crimeareamonthly) <=> dataset_id (norm match)
theftTaoyuan,theft_points_taoyuan,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
trafficAccidentYearly,traffic_accident_yearly,R4,MED,verified,R4 normalized name exact match. layer_key=trafficAccidentYearly (norm=trafficaccidentyearly) <=> dataset_id (norm match)
accidentTaipei,accident_taipei_dots,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
a1AccidentRealtime,traffic_accident,adversarial_fix,HIGH,verified,ADV: ADV-FIX: catalog 已有 environment/traffic_accident.md（A1+A2 警政署）
investigationBureau,investigation_bureau,R4,MED,verified,R4 normalized name exact match. layer_key=investigationBureau (norm=investigationbureau) <=> dataset_id (norm match)
antiCorruptionOffice,anti_corruption_offices,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
immigrationOffice,immigration_offices,hunt,HIGH,verified,hunt overrode existing (none/UNMATCHED). evidence: 移民署 → immigration_offices.md
coastGuardStation,coast_guard_stations,R4,MED,verified,R4 normalized name exact match. layer_key=coastGuardStation (norm=coastguard) <=> dataset_id (norm match)
civilDefenseShelter,civil_defense_shelters,R5+theme,MED,verified,R5 token+theme alignment. dataset theme=police_justice
policeIsoSubstation,police_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 警分駐所等時圈 → police_stations.md
policeIsoPrecinct,police_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 警分局等時圈 → police_stations.md
policeIsoCityDept,police_stations,hunt,LOW,verified,hunt overrode existing (none/UNMATCHED). evidence: 警察局等時圈 → police_stations.md
